Topic,Difficulty Level,Question Full,Answer,Question Text,Choices,Genere,Question Tags
BPC,Easy,What is the use of Journals in BPC,Journals in BPC are used to update data in database,What is the use of Journals in BPC,,BPC,"['use', 'journal', 'bpc']"
BPC,Medium,How to debug the script logic?,UJK_SCRIPT_LOGIC_TESTER,How to debug the script logic?,,BPC,"['debug', 'script', 'logic']"
BPC,Easy,Where you can use the Java script?,Conversion file,Where you can use the Java script?,,BPC,"['use', 'java', 'script']"
BPC,Medium,Can VB script be used in Netweaver BPC?,No,Can VB script be used in Netweaver BPC?,,BPC,"['vb', 'script', 'use', 'netweav', 'bpc']"
BPC,Medium,What are the various components of BPC security ?,"A,B,C,D",What are the various components of BPC security ?, Member access profile$Task profile$Teams$Users,BPC,"['various', 'compon', 'bpc', 'secur']"
BPC,Easy,Can we connect SAC with BPC,Yes,Can we connect SAC with BPC,,BPC,"['connect', 'sac', 'bpc']"
BPC,Medium,BPC 11 will run on,BW4HANA,BPC 11 will run on,,BPC,"['bpc', '11', 'run']"
BPC,Easy,Which plugin will be used for BPC 11 Embedded Model,Analysis for Office Plug-in,Which plugin will be used for BPC 11 Embedded Model,,BPC,"['plugin', 'use', 'bpc', '11', 'embed', 'model']"
BPC,Easy,Is Optimized BPC same as BPC 11,No,Is Optimized BPC same as BPC 11,,BPC,"['optim', 'bpc', 'bpc', '11']"
BPC,Easy,What are the two version available for SAP BPC?A. SAP BPC NetWeaver  B. BPC MS  C. BPC for Outlook  D. All of the Above,A AND B,What are the two version available for SAP BPC?, SAP BPC NetWeaver  $ BPC MS  $ BPC for Outlook  $ All of the Above,BPC,"['two', 'version', 'avail', 'sap', 'bpc']"
BPC,Medium,"While creating a legal consolidation application, which of the dimensions needs to be created in BPC?",All of the Above,"While creating a legal consolidation application, which of the dimensions needs to be created in BPC?",,BPC,"['creat', 'legal', 'consolid', 'applic', 'dimens', 'need', 'creat', 'bpc']"
BPC,Medium,What is the use of Transformation file?A. Transformation file provides the mapping of fields from BW to BPC and is an excel file in BPC  B. It contains transaction data from InfoObjects in BW with BPC dimensions defined in the administration console  C. Transformation file provides currency conversion  D. All of the Above  E. None of the Above,A AND B,What is the use of Transformation file?, Transformation file provides the mapping of fields from BW to BPC and is an excel file in BPC  $ It contains transaction data from InfoObjects in BW with BPC dimensions defined in the administration console  $ Transformation file provides currency conversion  $ All of the Above  E. None of the Above,BPC,"['use', 'transform', 'file']"
BPC,Easy,Which design models are available in SAP BPC to fulfill the business requirements?A. Standard Model  B. Hybrid Model  C. Embedded Model  D. Integrated Model,A AND C,Which design models are available in SAP BPC to fulfill the business requirements?, Standard Model  $ Hybrid Model  $ Embedded Model  $ Integrated Model,BPC,"['design', 'model', 'avail', 'sap', 'bpc', 'fulfil', 'busi', 'requir']"
BPC,Easy,What is the use of work status?,Work status is used to lock a region of data in a model. This is used to override the users member access privilege to write to a particular region.,What is the use of work status?,,BPC,"['use', 'work', 'status']"
BPC,Medium,What are system variables?,"A,B,C,D",What are system variables?, %USER%$%APPSET%$%APPLICATION%$%YEAR%,BPC,"['system', 'variabl']"
BPC,Easy,"What is DRILLDOWN?A. Drill down is used to drill down on member data within dimensions.  B. You can drill down on members in a worksheet, or you can drill down on charts and graphs.   C. Drill down is conducted within one report in the Excel interface   D. None of the Above","A, B AND C",What is DRILLDOWN?," Drill down is used to drill down on member data within dimensions.  $ You can drill down on members in a worksheet, or you can drill down on charts and graphs.   $ Drill down is conducted within one report in the Excel interface   $ None of the Above",BPC,['drilldown']
BPC,Medium,What are various SAP BPC built-in functionalities?,"A,B,C,D",What are various SAP BPC built-in functionalities?, Strategic Planning$Budgeting$Reporting$Forecasting,BPC,"['various', 'sap', 'bpc', 'built-in', 'function']"
