Topic,Difficulty Level,Question Full,Answer,Question Text,Choices,Genere,Question Tags
SAP UI5 Introduction,Easy,What is an integrated development environment (IDE)?,A software to support you when developing software.,What is an integrated development environment (IDE)?,,Cloud_UX,"['integr', 'develop', 'environ', 'ide']"
SAP WEBIDE,Easy,How can you benefit from using a cloud-based development environment such as SAP Web IDE?,"A,B,C",How can you benefit from using a cloud-based development environment such as SAP Web IDE?,You can run the IDE on many operating systems because it is a browser-based tool.$You get frequent software updates and can make use of cloud-based integration features easily.$You do not have to do any local setup and tool installation or worry about where your project files are store,Cloud_UX,"['benefit', 'use', 'cloud-bas', 'develop', 'environ', 'sap', 'web', 'ide']"
SAP UI5 control,DIFFICULT,How can you retrieve a UI5 control using the console for the browser developer tools,"yourControl = sap.ui.getCore().byId(""yourControlId)",How can you retrieve a UI5 control using the console for the browser developer tools,,Cloud_UX,"['retriev', 'ui5', 'control', 'use', 'consol', 'browser', 'develop', 'tool']"
SAP Ui5 tools,Medium,Which support tools are offered by SAPUI5?,"A,B,C,D",Which support tools are offered by SAPUI5?,Technical information dialog$Diagnostics window$Safari Web Inspector$Google Chrome developer tools,Cloud_UX,"['support', 'tool', 'offer', 'sapui5']"
Debugging,Medium,Which tab in the Google Chrome developer tools can you use to inspect the DOM structure of your UI5 app?,Elements,Which tab in the Google Chrome developer tools can you use to inspect the DOM structure of your UI5 app?,,Cloud_UX,"['tab', 'googl', 'chrome', 'develop', 'tool', 'use', 'inspect', 'dom', 'structur', 'ui5', 'app']"
Tools and standards,DIFFICULT,Which open standards and tools are the foundation of SAPUI5 technology?,"A,B,C",Which open standards and tools are the foundation of SAPUI5 technology?,D3.js for visualization$jQuery for managing DOM elements and abstracting browser differences$RIA for accessibility standards and keyboard handling,Cloud_UX,"['open', 'standard', 'tool', 'foundat', 'sapui5', 'technolog']"
SAP UI5 Introduction,Medium,Which statements regarding SAPUI5 are true?,"A,B,C",Which statements regarding SAPUI5 are true?,"SAPUI5 is responsive across browsers and devices; the UI controls automatically adapt to device capabilities and screen size$ SAPUI5 is an enterprise-ready Web toolkit with built-in translation, extensibility, and accessibility concepts.$SAPUI5 comes with a large number of feature-rich UI controls that implement a common design language",Cloud_UX,"['statement', 'regard', 'sapui5', 'true']"
View,Easy,Which are view types offered by SAPUI5?,"A,B,C,D",Which are view types offered by SAPUI5?,JSON Views$ XML Views$Javascript Views$HTML Views,Cloud_UX,"['view', 'type', 'offer', 'sapui5']"
SAP Ui5 controller,Easy,What are some purposes of a controller?,"A,B",What are some purposes of a controller?,To control the application flow by handling user events or updating the view$To manage response times so that the user does not have to wait,Cloud_UX,"['purpos', 'control']"
SAP Ui5 controller lifecycles,Easy,Which are standard controller hooks in SAPUI5?,"A,B",Which are standard controller hooks in SAPUI5?,onInit  an event that is called when the view and the controller are instantiated$ onExit  an event that is called when the view and the controller are destroyed,Cloud_UX,"['standard', 'control', 'hook', 'sapui5']"
SAP UI5 application descriptor,Medium,What information can be stored in the manifest.json file of your app?,"A,B,C,D",What information can be stored in the manifest.json file of your app?,Supported themes$ Supported device types$Root view$Cross app Navigation,Cloud_UX,"['inform', 'store', 'manifest.json', 'file', 'app']"
SAP UI5 application descriptor,Easy,Which namespaces can be used in the manifest.json file?,"A,B,C,D",Which namespaces can be used in the manifest.json file?,sap.ui5$ sap.app$sap.fiori$sap.ui.generiapp,Cloud_UX,"['namespac', 'use', 'manifest.json', 'file']"
SAP UI5 application descriptor,Easy,"What is the name of the file where the descriptor for applications, components, and libraries is stored?",manifest.json,"What is the name of the file where the descriptor for applications, components, and libraries is stored?",,Cloud_UX,"['name', 'file', 'descriptor', 'applic', 'compon', 'librari', 'store']"
SAP Ui5 naming conventions,Easy,Which SAPUI5 conventions are valid?,"A,B,C,D",Which SAPUI5 conventions are valid?,"The resource model for internationalization is called the i18n model.$ The default filename for internationalization is internationalization.properties.$Use Polish notation for variable names.$ Never concatenate strings that are translated, always use placeholders.",Cloud_UX,"['sapui5', 'convent', 'valid']"
Data binding,Easy,"Which data binding mode means a binding from the model to the view and from the view to the model (value changes in the model and in the view update all corresponding bindings and the view and model, respectively)?",Two-way,"Which data binding mode means a binding from the model to the view and from the view to the model (value changes in the model and in the view update all corresponding bindings and the view and model, respectively)?",,Cloud_UX,"['data', 'bind', 'mode', 'mean', 'bind', 'model', 'view', 'view', 'model', 'valu', 'chang', 'model', 'view', 'updat', 'correspond', 'bind', 'view', 'model', 'respect']"
Json model,Easy,For what stands the abbreviation JSON?,Java Script Object Notation,For what stands the abbreviation JSON?,,Cloud_UX,"['stand', 'abbrevi', 'json']"
SAP Ui5 Icon,Easy,How would you add an icon from the SAPUI5 icon font to a button in an XML view?,"<Button text=""Save Draft"" icon=""sap-icon://save"" />",How would you add an icon from the SAPUI5 icon font to a button in an XML view?,,Cloud_UX,"['would', 'add', 'icon', 'sapui5', 'icon', 'font', 'button', 'xml', 'view']"
