Topic,Difficulty Level,Question Full,Answer,Question Text,Choices,Genere,Question Tags
Embedded Analytics,Medium,What type of analytics does SAP S/4HANA embedded analytics support?,Operational,What type of analytics does SAP S/4HANA embedded analytics support?,,Hana_CDS,"['type', 'analyt', 'sap', 's/4hana', 'embed', 'analyt', 'support']"
Embedded Analytics,Easy,What is the technology used to develop the virtual data model for SAP S/4HANA embedded analytics?,ABAP CDS,What is the technology used to develop the virtual data model for SAP S/4HANA embedded analytics?,,Hana_CDS,"['technolog', 'use', 'develop', 'virtual', 'data', 'model', 'sap', 's/4hana', 'embed', 'analyt']"
Embedded Analytics,Medium,Which is the correct sequence of views (from top to bottom) of the virtual data model?,Consumption  Composite  Basic,Which is the correct sequence of views (from top to bottom) of the virtual data model?,,Hana_CDS,"['correct', 'sequenc', 'view', 'top', 'bottom', 'virtual', 'data', 'model']"
Embedded Analytics,Easy,Which of the following is used to organize information in an overview page?,Cards,Which of the following is used to organize information in an overview page?,,Hana_CDS,"['follow', 'use', 'organ', 'inform', 'overview', 'page']"
Embedded Analytics,Easy,What does the Query Browser present?,Analytical Queries,What does the Query Browser present?,,Hana_CDS,"['queri', 'browser', 'present']"
Embedded Analytics,Medium,Which tool do you use for slice-and-dice exploration across any combination of dimensions?,Multi-Dimensional Reports,Which tool do you use for slice-and-dice exploration across any combination of dimensions?,,Hana_CDS,"['tool', 'use', 'slice-and-dic', 'explor', 'across', 'combin', 'dimens']"
Embedded Analytics,Easy,Why do you use Analysis Path Framework?,To explain a complex root cause using a sequence of analysis steps.,Why do you use Analysis Path Framework?,,Hana_CDS,"['use', 'analysi', 'path', 'framework']"
Embedded Analytics,Easy,The View Browser app is used to examine the source code of the CDS view.,FALSE,The View Browser app is used to examine the source code of the CDS view.,,Hana_CDS,"['view', 'browser', 'app', 'use', 'examin', 'sourc', 'code', 'cds', 'view']"
Embedded Analytics,Easy,Why do you use the app Create Custom Report?,To create a report that combines a chart and table,Why do you use the app Create Custom Report?,,Hana_CDS,"['use', 'app', 'creat', 'custom', 'report']"
Embedded Analytics,Easy,Why do you use the transaction RSRT?,To test analytical queries,Why do you use the transaction RSRT?,,Hana_CDS,"['use', 'transact', 'rsrt']"
Embedded Analytics,Easy,You can launch an SAP Analytics Suite report directly from a Fiori Launchpad tile.,TRUE,You can launch an SAP Analytics Suite report directly from a Fiori Launchpad tile.,,Hana_CDS,"['launch', 'sap', 'analyt', 'suit', 'report', 'direct', 'fiori', 'launchpad', 'tile']"
Embedded Analytics,difficult,Why might you implement BW or BW/4HANA alongside S/4HANA embedded analytics?,To support an enterprise-wide data lifecycle strategy,Why might you implement BW or BW/4HANA alongside S/4HANA embedded analytics?,,Hana_CDS,"['might', 'implement', 'bw', 'bw/4hana', 'alongsid', 's/4hana', 'embed', 'analyt']"
CDS Views,Easy,What type of parameter does CDS views accept,Scalar parameter,What type of parameter does CDS views accept,,Hana_CDS,"['type', 'paramet', 'cds', 'view', 'accept']"
CDS Views,Easy,What is SQL enhancement?? ( CDS )?,All of the Above,What is SQL enhancement?? ( CDS )?,,Hana_CDS,"['sql', 'enhanc', 'cds']"
