Topic,Difficulty Level,Question Full,Answer,Question Text,Choices,Genere,Question Tags
Angular,Easy,What is Angular Based on?,MVVM Architectural pattern,Angular JS is Based on,,SCP_MEAN_Stack,"['angular', 'js', 'base']"
Angular,Difficult,What is correct way to apply multiple filters in Angular?,{{ expression | filter1 | filter2 | ... }},What is correct way to apply multiple filters in AngularJs.,,SCP_MEAN_Stack,"['correct', 'way', 'appli', 'multipl', 'filter', 'angularj']"
Angular,Medium,What do you have to define in an attribute view to reduce the initial amount of data selected from the data foundation tables?,A static filter value on any column in the data foundation tables,What do you have to define in an attribute view to reduce the initial amount of data selected from the data foundation tables?,,SCP_MEAN_Stack,"['defin', 'attribut', 'view', 'reduc', 'initi', 'amount', 'data', 'select', 'data', 'foundat', 'tabl']"
Node JS,Easy,Is node js multithreaded?,No,Is node js multithreaded?,,SCP_MEAN_Stack,"['node', 'js', 'multithread']"
Node JS,Easy,What is the default scope in Node.js application?,Local,What is the default scope in Node.js application.,,SCP_MEAN_Stack,"['default', 'scope', 'node.j', 'applic']"
Node JS,Easy,Which of the following are not Node.js web application frameworks for?,Aurelia,Which of the following are not Node.js web application frameworks for?,,SCP_MEAN_Stack,"['follow', 'node.j', 'web', 'applic', 'framework']"
Angular,Easy,What is $routeProvider?,A service,What is $routeProvider ?,,SCP_MEAN_Stack,['routeprovid']
Node JS,Difficult,Which of the following is true about RESTful web services?,Both of the above,Which of the following is true about RESTful web services?,,SCP_MEAN_Stack,"['follow', 'true', 'rest', 'web', 'servic']"
Node JS,Difficult,In Nodejs how node based web servers differ from traditional web servers?,Node based server uses a single threaded model and can serve much larger number of requests compared to any traditional server like Apache HTTP Server.,In Nodejs how node based web servers differ from traditional web servers?,,SCP_MEAN_Stack,"['nodej', 'node', 'base', 'web', 'server', 'differ', 'tradit', 'web', 'server']"
Node JS,Difficult,Why a Node.JS code is pretty fast although being written in JavaScript?,Being built on Google Chrome's V8 JavaScript Engine,Why a Node.JS code is pretty fast although being written in JavaScript?,,SCP_MEAN_Stack,"['node.j', 'code', 'pretti', 'fast', 'although', 'written', 'javascript']"
Angular,Difficult,What is link function used for in angular js?,It is used for registering DOM listeners as well as instance DOM manipulation,What is link function is used for in angular js?,,SCP_MEAN_Stack,"['link', 'function', 'use', 'angular', 'js']"
Angular,Difficult,Which character is used for chaining multiple pipes in Angular?,|,Which character is used for chaining multiple pipes in Angular,,SCP_MEAN_Stack,"['charact', 'use', 'chain', 'multipl', 'pipe', 'angular']"
Angular,Medium,What decorator allows us to define the pipe name that is globally available for use in any template in the across application?,All active versions,What decorator allows us to define the pipe name that is globally available for use in any template in the across application.,,SCP_MEAN_Stack,"['decor', 'allow', 'us', 'defin', 'pipe', 'name', 'global', 'avail', 'use', 'templat', 'across', 'applic']"
Angular,Difficult,Which method is used to compare the placement of two nodes in the DOM hierarchy (document)?,compareDocumentPosition(),Which method is used to compare the placement of two nodes in the DOM hierarchy (document)?,,SCP_MEAN_Stack,"['method', 'use', 'compar', 'placement', 'two', 'node', 'dom', 'hierarchi', 'document']"
Node JS,Easy,Which module is used to serve static resources in Node.js?,node-static,Which module is used to serve static resources in Node.js?,,SCP_MEAN_Stack,"['modul', 'use', 'serv', 'static', 'resourc', 'node.j']"
Angular,Medium,How would you display a list of Employees on a webpage along with where they were in the list?,Loop through and print the index and the employee,How would you display a list of Employees on a webpage along with where they were in the list?,,SCP_MEAN_Stack,"['would', 'display', 'list', 'employe', 'webpag', 'along', 'list']"
Angular,Medium,If you chain multiple pipes together how they are executed?,in the order in which you specify them," If you chain multiple pipes together, they are executed",,SCP_MEAN_Stack,"['chain', 'multipl', 'pipe', 'togeth', 'execut']"
Node JS,Medium,Which of the following is true about clearTimeout(t) global function?,The clearTimeout( t ) global function is used to stop a timer that was previously created with setTimeout().,Which of the following is true about clearTimeout(t) global function?,,SCP_MEAN_Stack,"['follow', 'true', 'cleartimeout', 'global', 'function']"
Node JS,Medium,Which of the following tool automates various tasks of Node.js application?,GruntJS,Which of the following tool automates various tasks of Node.js application?,,SCP_MEAN_Stack,"['follow', 'tool', 'autom', 'various', 'task', 'node.j', 'applic']"
